1) jobs and applications analysis per company
+--------------------+-------------+----------------+
|             company|total_adverts|total_applicants|
|        Heller Group|               1|          2013-09-06|         2013-09-06|                          0|
|Becker, Hermann a...|               1|          2015-03-30|         2015-03-30|                          0|
|      MacGyver-Block|               1|          2016-04-21|         2016-04-21|                          0|
|Predovic, Cumming...|               1|          2018-02-17|         2018-02-17|                          0|
|  Powlowski-Connelly|               1|          2019-08-21|         2019-08-21|                          0|
|     Beatty and Sons|               1|          2011-05-13|         2011-05-13|                          0|
|       Sporer-Abbott|               1|          2016-10-27|         2016-10-27|                          0|
|Weber, Bailey and...|               1|          2011-04-14|         2011-04-14|                          0|
|Hilll, Beer and H...|               1|          2015-04-28|         2015-04-28|                          0|
|Schumm, Stiedeman...|               1|          2012-04-30|         2012-04-30|                          0|
|     Wisoky-Predovic|               1|          2019-09-24|         2019-09-24|                          0|
|     Jenkins-Corkery|               1|          2014-11-09|         2014-11-09|                          0|
|       Koelpin-Ferry|               1|          2015-11-28|         2015-11-28|                          0|
|      Little-Hagenes|               1|          2012-05-04|         2012-05-04|                          0|
|         Ebert-Beier|               1|          2010-10-23|         2010-10-23|                          0|
|     Oberbrunner Inc|               1|          2013-01-12|         2013-01-12|                          0|
|Wolf, Heller and ...|               1|          2016-04-13|         2016-04-13|                          0|
|Ankunding, Ondric...|               1|          2015-04-11|         2015-04-11|                          0|
|            Dach LLC|               1|          2017-06-02|         2017-06-02|                          0|
|  Greenfelder-Hamill|               1|          2012-01-08|         2012-01-08|                          0|
|          King-Wyman|               1|          2020-01-10|         2020-01-10|                          0|
|Nitzsche, Gulgows...|               1|          2016-07-21|         2016-07-21|                          0|
|Schmeler, Hills a...|               1|          2013-03-06|         2013-03-06|                          0|
|         Strosin Inc|               1|          2018-11-13|         2018-11-13|                          0|
|        Cummings LLC|               1|          2020-06-09|         2020-06-09|                          0|
|     Kautzer-Rolfson|               1|          2017-02-01|         2017-02-01|                          0|
|         Parker-Ward|               1|          2017-11-25|         2017-11-25|                          0|
|Sporer, Kuhn and ...|               1|          2012-07-07|         2012-07-07|                          0|
|      Bergnaum-Pagac|               1|          2013-09-12|         2013-09-12|                          0|
|   Connelly and Sons|               1|          2012-07-26|         2012-07-26|                          0|
|Johns, Pfeffer an...|               1|          2016-03-31|         2016-03-31|                          0|
|        Mante-Wisoky|               1|          2018-01-18|         2018-01-18|                          0|
|        Jerde-Walter|               1|          2015-02-03|         2015-02-03|                          0|
|        Weissnat LLC|               1|          2020-02-13|         2020-02-13|                          0|
|Stiedemann, Homen...|               1|          2020-05-27|         2020-05-27|                          0|
|Larkin, Price and...|               1|          2012-11-13|         2012-11-13|                          0|
|  Medhurst-Lueilwitz|               1|          2010-11-22|         2010-11-22|                          0|
|            Toy-Rowe|               1|          2012-08-21|         2012-08-21|                          0|
|          Jast-Bauch|               1|          2018-10-24|         2018-10-24|                          0|
|           Feest Inc|               1|          2016-07-10|         2016-07-10|                          0|
|Streich, Hahn and...|               1|          2015-04-15|         2015-04-15|                          0|
|Upton, Hirthe and...|               1|          2013-12-15|         2013-12-15|                          0|
|Armstrong, Crona ...|               1|          2015-10-06|         2015-10-06|                          0|
|Lynch, McCullough...|               1|          2013-09-19|         2013-09-19|                          0|
|            Funk LLC|               1|          2014-04-06|         2014-04-06|                          0|
|      Terry-Gislason|               1|          2018-05-31|         2018-05-31|                          0|
|  Armstrong and Sons|               1|          2012-02-22|         2012-02-22|                          0|
|Pollich, Harvey a...|               1|          2014-07-24|         2014-07-24|                          0|
|   Schaefer and Sons|               1|          2016-01-27|         2016-01-27|                          0|
|Altenwerth, Volkm...|               1|          2016-10-22|         2016-10-22|                          0|
|        Hammes-Hauck|               1|          2019-11-03|         2019-11-03|                          0|
|Lubowitz, Maggio ...|               1|          2012-04-16|         2012-04-16|                          0|
|      Kiehn and Sons|               1|          2014-04-23|         2014-04-23|                          0|
|          Auer-Moore|               1|          2016-10-31|         2016-10-31|                          0|
|       Terry-Denesik|               1|          2011-04-03|         2011-04-03|                          0|
|Nicolas, Nitzsche...|               1|          2017-10-23|         2017-10-23|                          0|
|Goldner, Langwort...|               1|          2013-07-09|         2013-07-09|                          0|
|        Marvin Group|               1|          2020-02-24|         2020-02-24|                          0|
|Heathcote, Runolf...|               1|          2014-11-10|         2014-11-10|                          0|
|Johnson, Mosciski...|               1|          2018-03-25|         2018-03-25|                          0|
|     Casper and Sons|               1|          2011-07-30|         2011-07-30|                          0|
|  Keeling-Swaniawski|               1|          2011-01-04|         2011-01-04|                          0|
|Kshlerin, Watsica...|               1|          2015-08-04|         2015-08-04|                          0|
|      Nienow-Padberg|               1|          2012-02-19|         2012-02-19|                          0|
|    Pfeffer and Sons|               1|          2012-11-01|         2012-11-01|                          0|
|Emmerich, Little ...|               1|          2014-12-19|         2014-12-19|                          0|
|Lind, Kertzmann a...|               1|          2011-12-28|         2011-12-28|                          0|
|           Bayer LLC|               1|          2010-09-25|         2010-09-25|                          0|
|        Tremblay LLC|               1|          2016-11-20|         2016-11-20|                          0|
|Wiegand, Lang and...|               1|          2012-04-15|         2012-04-15|                          0|
|      Boehm and Sons|               1|          2019-06-20|         2019-06-20|                          0|
|Gottlieb, Bashiri...|               1|          2016-08-28|         2016-08-28|                          0|
|        Deckow-Blick|               1|          2011-09-08|         2011-09-08|                          0|
|      Price and Sons|               1|          2019-07-04|         2019-07-04|                          0|
|    Berge-Macejkovic|               1|          2011-06-25|         2011-06-25|                          0|
|    Reichel and Sons|               1|          2019-04-23|         2019-04-23|                          0|
|   Funk-Christiansen|               1|          2017-12-04|         2017-12-04|                          0|
|Little, Jenkins a...|               1|          2016-01-19|         2016-01-19|                          0|
|Rolfson, West and...|               1|          2020-01-13|         2020-01-13|                          0|
|Turcotte, Bernhar...|               1|          2019-07-10|         2019-07-10|                          0|
|       Blick-Trantow|               1|          2014-02-10|         2014-02-10|                          0|
|   Donnelly and Sons|               1|          2015-01-16|         2015-01-16|                          0|
|Cormier, McCullou...|               1|          2019-10-11|         2019-10-11|                          0|
|          Mann Group|               1|          2014-08-28|         2014-08-28|                          0|
|Sporer, Pollich a...|               1|          2011-08-19|         2011-08-19|                          0|
|        Stokes-Marks|               1|          2018-08-17|         2018-08-17|                          0|
|        Bergnaum LLC|               1|          2019-05-16|         2019-05-16|                          0|
|      Tremblay Group|               1|          2013-05-30|         2013-05-30|                          0|
|Sanford, Labadie ...|               1|          2018-01-10|         2018-01-10|                          0|
|        Waters Group|               1|          2013-05-02|         2013-05-02|                          0|
|Hamill, Watsica a...|               1|          2020-05-04|         2020-05-04|                          0|
| McLaughlin-Cummings|               1|          2019-11-10|         2019-11-10|                          0|
|     Morar-Schneider|               1|          2012-07-16|         2012-07-16|                          0|
|        Paucek Group|               1|          2017-07-09|         2017-07-09|                          0|
|Ruecker, Oberbrun...|               1|          2011-05-16|         2011-05-16|                          0|
+--------------------+----------------+--------------------+-------------------+---------------------------+

